"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2797","TC 2 Basic Login","First Basic Testing","Sat Oct 11 19:56:49 IST 2025","passed","Sat Oct 11 19:56:51 IST 2025","","","",""
"","1916","TC 1 url and assertion","First Basic Testing","Sat Oct 11 19:56:47 IST 2025","passed","Sat Oct 11 19:56:48 IST 2025","","","",""
